"","host","microbe"
"1","Juniperus communis","Zotu12050"
"2","Juniperus communis","Zotu12065"
"3","Juniperus communis","Zotu12152"
"4","Juniperus communis","Zotu12592"
"5","Juniperus communis","Zotu12695"
"6","Juniperus communis","Zotu1288"
"7","Juniperus communis","Zotu13219"
"8","Juniperus communis","Zotu140"
"9","Juniperus communis","Zotu196"
"10","Juniperus communis","Zotu2"
"11","Juniperus communis","Zotu3526"
"12","Juniperus communis","Zotu434"
"13","Juniperus communis","Zotu446"
"14","Juniperus communis","Zotu5519"
"15","Juniperus communis","Zotu5866"
"16","Juniperus communis","Zotu6071"
"17","Juniperus communis","Zotu68"
"18","Juniperus communis","Zotu724"
"19","Juniperus communis","Zotu7381"
"20","Juniperus communis","Zotu90"
"21","Potentilla diversifolia","Zotu140"
"22","Potentilla diversifolia","Zotu3526"
"23","Bistorta bistortoides","Zotu140"
"24","Bistorta bistortoides","Zotu3526"
"25","Populus tremulloides","Zotu140"
"26","Populus tremulloides","Zotu241"
"27","Populus tremulloides","Zotu3526"
"28","Populus tremulloides","Zotu5923"
"29","Vaccinium scoparium","Zotu140"
"30","Vaccinium scoparium","Zotu3526"
"31","Antennaria media","Zotu140"
"32","Antennaria media","Zotu31"
"33","Antennaria media","Zotu3526"
"34","Antennaria media","Zotu5782"
"35","Antennaria media","Zotu68"
"36","Antennaria media","Zotu80"
"37","Antennaria media","Zotu90"
"38","Antennaria media","Zotu97"
"39","Pinus contorta","Zotu1049"
"40","Pinus contorta","Zotu1067"
"41","Pinus contorta","Zotu12105"
"42","Pinus contorta","Zotu12155"
"43","Pinus contorta","Zotu12168"
"44","Pinus contorta","Zotu13148"
"45","Pinus contorta","Zotu13228"
"46","Pinus contorta","Zotu13232"
"47","Pinus contorta","Zotu1340"
"48","Pinus contorta","Zotu1343"
"49","Pinus contorta","Zotu13655"
"50","Pinus contorta","Zotu140"
"51","Pinus contorta","Zotu1498"
"52","Pinus contorta","Zotu15384"
"53","Pinus contorta","Zotu1547"
"54","Pinus contorta","Zotu191"
"55","Pinus contorta","Zotu196"
"56","Pinus contorta","Zotu2136"
"57","Pinus contorta","Zotu2202"
"58","Pinus contorta","Zotu2291"
"59","Pinus contorta","Zotu23"
"60","Pinus contorta","Zotu255"
"61","Pinus contorta","Zotu2749"
"62","Pinus contorta","Zotu3421"
"63","Pinus contorta","Zotu3526"
"64","Pinus contorta","Zotu361"
"65","Pinus contorta","Zotu3692"
"66","Pinus contorta","Zotu3783"
"67","Pinus contorta","Zotu395"
"68","Pinus contorta","Zotu446"
"69","Pinus contorta","Zotu4985"
"70","Pinus contorta","Zotu5110"
"71","Pinus contorta","Zotu543"
"72","Pinus contorta","Zotu5710"
"73","Pinus contorta","Zotu5718"
"74","Pinus contorta","Zotu5775"
"75","Pinus contorta","Zotu5777"
"76","Pinus contorta","Zotu591"
"77","Pinus contorta","Zotu5936"
"78","Pinus contorta","Zotu6089"
"79","Pinus contorta","Zotu6621"
"80","Pinus contorta","Zotu6934"
"81","Pinus contorta","Zotu6935"
"82","Pinus contorta","Zotu723"
"83","Pinus contorta","Zotu724"
"84","Pinus contorta","Zotu7381"
"85","Symphoricarpos albus","Zotu140"
"86","Symphoricarpos albus","Zotu3526"
"87","Chamaenerion angustifolium var. angustifolium","Zotu140"
"88","Artemisia tridentata","Zotu140"
"89","Artemisia tridentata","Zotu31"
"90","Artemisia tridentata","Zotu3526"
"91","Salix reticulata var. nana","Zotu140"
"92","Salix reticulata var. nana","Zotu3526"
"93","Salix reticulata var. nana","Zotu68"
"94","Salix reticulata var. nana","Zotu8074"
"95","Salix reticulata var. nana","Zotu90"
"96","Sedum lanceolatum","Zotu140"
"97","Sedum lanceolatum","Zotu3526"
"98","Sedum lanceolatum","Zotu68"
"99","Sedum lanceolatum","Zotu80"
"100","Eriogonum umbellatum","Zotu140"
"101","Eriogonum umbellatum","Zotu243"
"102","Eriogonum umbellatum","Zotu3526"
"103","Eriogonum umbellatum","Zotu519"
"104","Eriogonum umbellatum","Zotu5780"
"105","Eriogonum umbellatum","Zotu6145"
"106","Eriogonum umbellatum","Zotu68"
"107","Mahonia repens","Zotu140"
"108","Mahonia repens","Zotu3526"
"109","Mahonia repens","Zotu7381"
"110","Pseudotsuga menziesii","Zotu23"
